         4529737 function calls (4520266 primitive calls) in 10.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      220    0.002    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\concat.py:438(combine_concat_plans)
      228    0.002    0.000    0.005    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\path.py:193(_update_values)
        2    0.002    0.001    0.029    0.014 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\image.py:620(set_data)
      370    0.002    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\concat.py:130(needs_filling)
       72    0.002    0.000    0.002    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     3419    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
      652    0.002    0.000    0.005    0.000 {pandas._libs.lib.is_scalar}
      370    0.002    0.000    0.038    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\concat.py:177(get_reindexed_values)
     1020    0.002    0.000    0.012    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\markers.py:247(_recache)
     5432    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        2    0.002    0.001    7.878    3.939 C:\Users\Emil\Documents\UCT\Third Year\CSC3003S\Capstone\Prototype\egypt-simulation\src\simulation\presenter.py:78(update)
      588    0.002    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:2354(__init__)
     1285    0.002    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\colors.py:236(<genexpr>)
     7972    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
  140/104    0.002    0.000    0.053    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\series.py:194(__init__)
     7072    0.002    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:197(axes)
     2207    0.002    0.000    0.016    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:678(is_categorical_dtype)
       24    0.002    0.000    0.038    0.002 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\ticker.py:1923(_raw_ticks)
      132    0.002    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:697(translated)
     4697    0.002    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:211(<lambda>)
      192    0.002    0.000    0.081    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1162(findfont)
     1150    0.002    0.000    0.006    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\contextlib.py:86(__exit__)
      270    0.002    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:985(update_from)
    326/2    0.002    0.000    0.447    0.223 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:42(draw_wrapper)
      160    0.002    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:1965(rotate)
      264    0.002    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:742(set_weight)
       13    0.002    0.000    0.015    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\colors.py:241(to_rgba_array)
     1208    0.002    0.000    0.002    0.000 {built-in method numpy.arange}
      578    0.002    0.000    0.008    0.000 {built-in method builtins.sorted}
      132    0.002    0.000    0.156    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\text.py:892(get_window_extent)
      646    0.002    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:167(shape)
      692    0.002    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\lines.py:1019(_split_drawstyle_linestyle)
       30    0.002    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\lib\arraysetops.py:484(in1d)
       72    0.002    0.000    0.019    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\backends\backend_agg.py:167(draw_text)
     4025    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      346    0.001    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\lines.py:1044(set_linestyle)
      264    0.001    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:778(set_size)
      348    0.001    0.000    0.008    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\cast.py:880(maybe_infer_to_datetimelike)
      954    0.001    0.000    0.006    0.000 {built-in method builtins.any}
      420    0.001    0.000    0.063    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:2027(scale)
       24    0.001    0.000    0.146    0.006 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:1015(_update_ticks)
      784    0.001    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:627(set_figure)
       30    0.001    0.000    0.050    0.002 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:441(split_and_operate)
   218/15    0.001    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\abc.py:194(__subclasscheck__)
      970    0.001    0.000    0.015    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:345(ftype)
      184    0.001    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\lib\stride_tricks.py:185(_broadcast_shape)
